No    	Deprem Kodu	Olus tarihi	Olus zamani	Enlem	Boylam	Der(km)	xM	MD	ML	Mw	Ms	Mb	Tip	Yer
000001	20250629052055	2025.06.29	05:20:55.17	40.2190	32.9122	005.6	3.7	0.0	3.7	3.6	0.0	0.0	Ke	ASAGIOBRUK-CUBUK (ANKARA) [South West  3.4 km]
000002	20250622233822	2025.06.22	23:38:22.24	40.3248	42.7898	005.0	3.8	0.0	3.7	3.8	0.0	0.0	Ke	A. DAMLAPINAR-SELIM (KARS) [North West  3.6 km]
000003	20250611233341	2025.06.11	23:33:41.58	40.8348	28.3843	009.0	3.7	0.0	3.7	0.0	0.0	0.0	Ke	MARMARA DENIZI
000004	20250609175326	2025.06.09	17:53:26.83	40.3997	27.8880	010.7	3.6	0.0	3.6	3.4	0.0	0.0	Ke	HAMAMLI-ERDEK (BALIKESIR) [South 0.3 km]
000005	20250604173540	2025.06.04	17:35:40.48	40.8265	28.2760	010.4	3.5	0.0	3.5	0.0	0.0	0.0	Ke	SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
000006	20250527221302	2025.05.27	22:13:02.29	40.7453	31.6433	005.0	3.8	0.0	3.8	3.8	0.0	0.0	Ke	YENIKOY- (BOLU) [South 3.1 km]
000007	20250520203652	2025.05.20	20:36:52.66	40.8243	28.3625	017.4	4.2	0.0	4.2	0.0	0.0	0.0	Ke	MARMARA DENIZI
000008	20250513174631	2025.05.13	17:46:31.07	40.8350	28.2508	009.5	3.9	0.0	3.9	3.9	0.0	0.0	Ke	SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
000009	20250513041815	2025.05.13	04:18:15.16	40.8470	28.4118	010.6	4.0	0.0	4.0	3.8	0.0	0.0	Ke	MARMARA DENIZI
000010	20250512095104	2025.05.12	09:51:04.53	40.8467	34.4690	005.9	3.6	0.0	3.5	3.6	0.0	0.0	Ke	YENICE-ISKILIP (CORUM) [North West  0.9 km]
000011	20250512092625	2025.05.12	09:26:25.76	40.8207	35.2212	005.0	4.3	0.0	4.3	4.1	0.0	0.0	Ke	CETMI-GUMUSHACIKOY (AMASYA) [South East  1.1 km]
000012	20250512092355	2025.05.12	09:23:55.99	40.8120	35.2097	005.3	4.6	0.0	4.6	4.4	0.0	0.0	Ke	CETMI-GUMUSHACIKOY (AMASYA) [South West  2.2 km]
000013	20250507092257	2025.05.07	09:22:57.63	40.8313	28.3113	010.2	3.5	0.0	3.5	3.3	0.0	0.0	Ke	MARMARA DENIZI
000014	20250503083654	2025.05.03	08:36:54.86	40.8145	28.1952	010.2	3.9	0.0	3.9	3.8	0.0	0.0	Ke	SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
000015	20250428095829	2025.04.28	09:58:29.29	40.8497	28.2683	016.0	3.6	0.0	3.6	0.0	0.0	0.0	Ke	SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
000016	20250427194339	2025.04.27	19:43:39.46	40.8502	28.3665	005.0	3.6	0.0	3.6	3.3	0.0	0.0	Ke	MARMARA DENIZI
000017	20250427094843	2025.04.27	09:48:43.53	40.8463	28.4023	008.7	3.5	0.0	3.5	3.2	0.0	0.0	Ke	MARMARA DENIZI
000018	20250425195438	2025.04.25	19:54:38.81	40.8472	28.4087	013.6	3.5	0.0	3.5	0.0	0.0	0.0	Ke	MARMARA DENIZI
000019	20250425180711	2025.04.25	18:07:11.32	40.8153	28.3068	005.8	3.9	0.0	3.9	3.8	0.0	0.0	Ke	MARMARA DENIZI
000020	20250425180656	2025.04.25	18:06:56.11	40.8365	28.4110	012.1	3.9	0.0	3.9	3.8	0.0	0.0	Ke	MARMARA DENIZI
000021	20250425173316	2025.04.25	17:33:16.14	40.8278	28.4202	011.7	4.6	0.0	4.6	4.4	0.0	0.0	Ke	MARMARA DENIZI
000022	20250425172146	2025.04.25	17:21:46.28	40.8373	28.4333	007.6	3.7	0.0	3.7	3.5	0.0	0.0	Ke	MARMARA DENIZI
000023	20250425153203	2025.04.25	15:32:03.23	40.8620	28.7203	015.5	3.7	0.0	3.7	0.0	0.0	0.0	Ke	AVCILAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
000024	20250425053959	2025.04.25	05:39:59.21	40.8487	28.4657	019.1	3.8	0.0	3.8	0.0	0.0	0.0	Ke	GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
000025	20250424185447	2025.04.24	18:54:47.22	40.8510	28.3837	014.2	3.5	0.0	3.5	3.2	0.0	0.0	Ke	MARMARA DENIZI
000026	20250424172007	2025.04.24	17:20:07.30	40.5813	36.0123	005.5	3.7	0.0	3.7	3.7	0.0	0.0	Ke	TATAR- (AMASYA) [South West  0.7 km]
000027	20250424162446	2025.04.24	16:24:46.60	40.8467	28.2883	017.9	3.6	0.0	3.6	0.0	0.0	0.0	Ke	MARMARA DENIZI
000028	20250424145253	2025.04.24	14:52:53.44	40.8402	28.3160	014.5	4.0	0.0	4.0	0.0	0.0	0.0	Ke	MARMARA DENIZI
000029	20250424041919	2025.04.24	04:19:19.01	40.8260	28.3093	014.2	4.4	0.0	4.4	0.0	0.0	0.0	Ke	MARMARA DENIZI
