No,Deprem Kodu,Tarih,Zaman,Enlem,Boylam,derinlik_km,xM,MD,ML,Mw,Ms,Mb,Tip,Yer
1,20250629052055,2025.06.29,05:20:55.17,40.219,32.9122,5.6,3.7,0.0,3.7,3.6,0.0,0.0,Ke,ASAGIOBRUK-CUBUK (ANKARA) [South West  3.4 km]
2,20250622233822,2025.06.22,23:38:22.24,40.3248,42.7898,5.0,3.8,0.0,3.7,3.8,0.0,0.0,Ke,A. DAMLAPINAR-SELIM (KARS) [North West  3.6 km]
3,20250611233341,2025.06.11,23:33:41.58,40.8348,28.3843,9.0,3.7,0.0,3.7,0.0,0.0,0.0,Ke,MARMARA DENIZI
4,20250609175326,2025.06.09,17:53:26.83,40.3997,27.888,10.7,3.6,0.0,3.6,3.4,0.0,0.0,Ke,HAMAMLI-ERDEK (BALIKESIR) [South 0.3 km]
5,20250604173540,2025.06.04,17:35:40.48,40.8265,28.276,10.4,3.5,0.0,3.5,0.0,0.0,0.0,Ke,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
6,20250527221302,2025.05.27,22:13:02.29,40.7453,31.6433,5.0,3.8,0.0,3.8,3.8,0.0,0.0,Ke,YENIKOY- (BOLU) [South 3.1 km]
7,20250520203652,2025.05.20,20:36:52.66,40.8243,28.3625,17.4,4.2,0.0,4.2,0.0,0.0,0.0,Ke,MARMARA DENIZI
8,20250513174631,2025.05.13,17:46:31.07,40.835,28.2508,9.5,3.9,0.0,3.9,3.9,0.0,0.0,Ke,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
9,20250513041815,2025.05.13,04:18:15.16,40.847,28.4118,10.6,4.0,0.0,4.0,3.8,0.0,0.0,Ke,MARMARA DENIZI
10,20250512095104,2025.05.12,09:51:04.53,40.8467,34.469,5.9,3.6,0.0,3.5,3.6,0.0,0.0,Ke,YENICE-ISKILIP (CORUM) [North West  0.9 km]
11,20250512092625,2025.05.12,09:26:25.76,40.8207,35.2212,5.0,4.3,0.0,4.3,4.1,0.0,0.0,Ke,CETMI-GUMUSHACIKOY (AMASYA) [South East  1.1 km]
12,20250512092355,2025.05.12,09:23:55.99,40.812,35.2097,5.3,4.6,0.0,4.6,4.4,0.0,0.0,Ke,CETMI-GUMUSHACIKOY (AMASYA) [South West  2.2 km]
13,20250507092257,2025.05.07,09:22:57.63,40.8313,28.3113,10.2,3.5,0.0,3.5,3.3,0.0,0.0,Ke,MARMARA DENIZI
14,20250503083654,2025.05.03,08:36:54.86,40.8145,28.1952,10.2,3.9,0.0,3.9,3.8,0.0,0.0,Ke,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
15,20250428095829,2025.04.28,09:58:29.29,40.8497,28.2683,16.0,3.6,0.0,3.6,0.0,0.0,0.0,Ke,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
16,20250427194339,2025.04.27,19:43:39.46,40.8502,28.3665,5.0,3.6,0.0,3.6,3.3,0.0,0.0,Ke,MARMARA DENIZI
17,20250427094843,2025.04.27,09:48:43.53,40.8463,28.4023,8.7,3.5,0.0,3.5,3.2,0.0,0.0,Ke,MARMARA DENIZI
18,20250425195438,2025.04.25,19:54:38.81,40.8472,28.4087,13.6,3.5,0.0,3.5,0.0,0.0,0.0,Ke,MARMARA DENIZI
